,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
139,2025-04,WEEKDAY,12,TRAIN,EW1,25638,17334
140,2025-04,WEEKDAY,23,TRAIN,TE16,2261,3544
141,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1221,2279
142,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT13,2531,4616
143,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,PE5,3580,1746
144,2025-04,WEEKDAY,22,TRAIN,PW5,570,3529
145,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,TE19,1160,1705
146,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,DT3,3214,2718
147,2025-04,WEEKDAY,7,TRAIN,EW2/DT32,135824,62494
148,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW28,11945,10450
149,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,CC28,1936,1104
150,2025-04,WEEKENDS/HOLIDAY,9,TRAIN,PE4,825,419
151,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NS15,7061,5109
152,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,DT6,2890,2627
153,2025-04,WEEKDAY,13,TRAIN,EW5,29666,26372
154,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW11,4963,3803
155,2025-04,WEEKDAY,18,TRAIN,EW1,40289,103703
156,2025-04,WEEKDAY,23,TRAIN,NS25/EW13,22970,2610
157,2025-04,WEEKDAY,5,TRAIN,TE24,183,3
158,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS16,21499,13976
159,2025-04,WEEKDAY,22,TRAIN,TE8,6838,6598
160,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,BP3,1997,488
161,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,CC23,2159,1385
162,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW5,11412,16407
163,2025-04,WEEKDAY,19,TRAIN,NS16,50463,102772
164,2025-04,WEEKDAY,16,TRAIN,BP9,2037,2957
165,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,SW6,2305,1282
166,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,CE1/DT16,25356,24304
167,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT25,1837,2191
168,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NS28,1924,551
169,2025-04,WEEKDAY,16,TRAIN,EW19,16969,18861
170,2025-04,WEEKDAY,11,TRAIN,CC27,5035,4733
171,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,DT10,885,1176
172,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,NS14,13719,11970
173,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,TE24,1982,1120
174,2025-04,WEEKDAY,5,TRAIN,PW3,975,86
175,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,TE26,5788,2746
176,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,NS21/DT11,31335,32604
177,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW4,3620,7890
178,2025-04,WEEKDAY,13,TRAIN,NS23,40131,35818
179,2025-04,WEEKDAY,0,TRAIN,NS5,513,4936
180,2025-04,WEEKDAY,21,TRAIN,TE29,670,3990
181,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NS23,209,112
182,2025-04,WEEKENDS/HOLIDAY,18,TRAIN,EW23,25303,28422
183,2025-04,WEEKDAY,9,TRAIN,DT2,4060,4120
184,2025-04,WEEKDAY,7,TRAIN,CC26,7331,21929
185,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,TE4,1975,2717
186,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,BP5,268,404
187,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,NS28,863,3231
188,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT8,1727,1897
189,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,BP8,662,905
190,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT21,3008,2451
191,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT2,348,614
192,2025-04,WEEKDAY,6,TRAIN,CC12,8251,8704
193,2025-04,WEEKDAY,22,TRAIN,EW14/NS26,39395,5504
194,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW11,10659,10075
195,2025-04,WEEKDAY,19,TRAIN,NS14,30662,81854
196,2025-04,WEEKDAY,5,TRAIN,NE8,1275,70
197,2025-04,WEEKDAY,13,TRAIN,NS9/TE2,48187,51079
198,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NE8,10593,18131
199,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1936,1727
200,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,EW21/CC22,6595,5394
201,2025-04,WEEKDAY,23,TRAIN,EW28,3084,13798
202,2025-04,WEEKDAY,18,TRAIN,DT17,140918,11864
203,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,TE13,2015,2009
204,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,TE22,1959,3715
205,2025-04,WEEKDAY,21,TRAIN,TE19,9704,1539
206,2025-04,WEEKDAY,10,TRAIN,NE16/STC,42012,23980
207,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW2/DT32,29857,34383
208,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NE18,5006,5789
209,2025-04,WEEKDAY,23,TRAIN,TE27,454,2812
210,2025-04,WEEKDAY,5,TRAIN,PE4,699,148
211,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,CC2,2689,3646
212,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,BP8,918,951
213,2025-04,WEEKDAY,12,TRAIN,NS27/CE2/TE20,6217,5096
214,2025-04,WEEKDAY,23,TRAIN,DT6,552,2084
215,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,DT24,969,2637
216,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW3,7939,8975
217,2025-04,WEEKDAY,10,TRAIN,BP9,3259,2015
218,2025-04,WEEKENDS/HOLIDAY,5,TRAIN,DT28,452,19
219,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW29,311,1141
220,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,CC11,9973,6415
221,2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE22,527,2930
222,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NS14,7394,16519
223,2025-04,WEEKDAY,0,TRAIN,EW33,0,259
224,2025-04,WEEKDAY,19,TRAIN,NE12/CC13,73151,144487
225,2025-04,WEEKDAY,0,TRAIN,DT13,287,632
226,2025-04,WEEKDAY,13,TRAIN,NS11,29482,26918
227,2025-04,WEEKDAY,16,TRAIN,EW12/DT14,67707,57072
228,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,BP6/DT1,9631,3928
229,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NE18,2197,2294
230,2025-04,WEEKDAY,18,TRAIN,DT13,27338,20372
231,2025-04,WEEKDAY,7,TRAIN,NS4/BP1,123338,73861
232,2025-04,WEEKDAY,9,TRAIN,DT17,3907,128026
233,2025-04,WEEKDAY,19,TRAIN,NS3,18386,51334
234,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC23,2938,2248
235,2025-04,WEEKDAY,5,TRAIN,NS21/DT11,3826,2474
236,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,TE26,7983,5340
237,2025-04,WEEKDAY,23,TRAIN,NE4/DT19,17628,8223
238,2025-04,WEEKDAY,23,TRAIN,DT30,610,6159
239,2025-04,WEEKDAY,0,TRAIN,DT21,284,308
240,2025-04,WEEKDAY,0,TRAIN,NS4/BP1,1006,3905
241,2025-04,WEEKDAY,7,TRAIN,TE19,1548,24447
242,2025-04,WEEKDAY,5,TRAIN,EW4,4523,485
243,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,PE4,41,141
244,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,NS4/BP1,2842,8395
245,2025-04,WEEKDAY,19,TRAIN,EW22,11870,13344
246,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,NS16,18128,20853
247,2025-04,WEEKDAY,19,TRAIN,NS15,32168,27093
248,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,TE8,3307,4699
249,2025-04,WEEKDAY,11,TRAIN,TE7,6525,3670
250,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,BP5,1252,997
251,2025-04,WEEKDAY,17,TRAIN,DT27,27915,13312
