,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's Portfolio Investment Assets",,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/07/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
    Cayman Islands,95661,103283.2,89755.9,91955.8,95186.3,76122.3,65060.7,60244.6,41975.7,31013.6,20850.6,13750.1,10884.2,9574.6,10266.2,10200,9524.1,11344.4,11295.6,8253.5,6611.9,4999.6,2800.2,4158.3
  Africa,9534.2,12439.7,13956.1,11984.4,12215.5,13753.6,14591,19599.9,19975.1,na,na,12603.8,na,10233.8,6791.1,na,na,2573.8,3615.1,1112.7,724.1,1026.4,1229.3,691.2
    Mauritius,1602.4,1876.6,2254.1,na,na,na,na,na,na,na,2100.3,1604.8,1724.4,1477.5,1431.6,na,1072,526.2,2238.4,328,195.8,149.4,146.9,123.8
  ASEAN,128471.8,127976.9,104609.6,92661.8,91028.9,91752.8,87406,85617.2,76326.1,66646,79148.2,90504.2,89540.4,57474.8,62045.8,38798.8,34647.9,62809.2,45462.1,41390.6,36533,26339.3,22932.8,21296.1
  European Union (EU-27),245182.4,240337.7,218503.1,238810.9,242439.1,244321.6,209199.6,207077.1,176805.6,158785.8,147847,150377.3,118196.2,82508.9,106087.9,98047.9,66450.8,112628.5,96436,74759.4,77709.5,81793.8,51588.6,37990
"Singapore's Portfolio Investment Assets - Equity And Investment Fund Shares (Instrument)",1562621.5,1473781.5,1353253.4,1407932.4,1211239.2,1092954.2,880592.3,892201.2,757748,692311,636568.8,592231.9,521340.3,399312.5,381178.3,292762.1,258699.4,372834,273140.4,214149.8,174656.2,150359.6,77674.2,62224.6
  Asia,542559.4,540652,512516.8,527546.9,495623.3,429170.9,348866.1,345301.1,304792.4,296544.5,254397.3,218607.3,216597.5,152730,153716.1,126158.1,130134.1,159444.5,116599.6,94091.6,69582.4,51288.5,30608.7,28327
    Mainland China,142891.4,139979.4,156317.4,170093.3,181221.4,138912.3,107500.6,111915.4,91929.7,101467.4,79687.1,69374.5,65426.3,52180.8,49997.3,41956.5,35226.6,24235.9,14201.8,9928.6,4493.6,4219.7,1991.3,1932.7
    Hong Kong,33578.8,38458.6,46849.8,48197,37668.6,34651.8,26883.9,28412.6,20243.4,19175,16505.8,15435.5,13969.4,9074.9,10661.6,8662,15877.6,24770.9,29662.1,22314.4,10420.7,7517.1,4382.9,5708.2
    India,108718.3,107311.4,94229.9,93522.7,67639.3,54540.5,45891.4,47807.9,40737.7,43288,39349.6,23439.9,26147.9,15352.4,19204.9,25523.6,15071.7,25085.6,7677.8,3104.2,2906.1,1803.2,673.7,440.1
    Indonesia,35383.9,41767.4,27794.7,20569,15274.9,18345.3,17554.5,13243.3,11705.4,9155.4,9894.7,8319.8,17911.7,6247.2,6010.5,3474.5,2639.7,5832,2433.9,2432.3,2547.5,1363.2,2353,573.5
    Japan,78405,63180,51395.8,60291.1,66931.1,74150.8,58961,54803.8,48268.3,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,30267.7,44244.7,36571.8,42311.6,50192,38028.4,34960.5,37073.9,34443.3,31473.6,28011.5,27039.3,27728.6,19784,16254.9,11725.6,11063.8,16155.7,12980.8,11919.5,9422.6,6035.8,2652.8,2049.3
    Malaysia,11284.1,9187.4,9483.8,8658.9,6687.9,7212.9,7885.1,8043.9,9301.1,8257,10215.9,10548.1,10059.2,9131,8949.4,5477.4,9265.5,13622.8,10288.6,11888.6,11099.9,7663.9,7426.2,8644.5
    Myanmar,2.7,97.1,373.9,506.8,717.1,644.8,497.8,384,641.4,443.7,92.8,na,na,na,na,na,na,na,na,3.7,3.8,8.7,8.7,10.1
    Philippines,6405.8,7243.8,5723.3,4614,5166.3,4193.3,3577.3,3202.7,4645.9,4266.8,3785.5,2374.5,3337.1,1961.6,1601.5,916,871.1,1389.3,955,619.5,664.6,617,488.5,781.1
    Taiwan,na,na,na,na,na,na,22564.4,22264.3,24465.1,20505.2,20107.6,16855.3,16994.3,13481.7,12930.1,8372,6318.9,8341.9,7641.1,6503.2,5074,4337.5,2124.7,1862.4
    Thailand,9711.9,9708.5,11195.3,8648.2,7901.4,9593,9174.9,7930.8,8694.3,7257.7,7353.7,10375.2,6784.5,4622.2,4387.8,3000.1,3643.6,5669.7,5792.9,6267.5,5071.2,4331.4,2594.3,2825.7
